Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2,00:00:00.042,0.0,0.0,0.0,0.0
3,00:00:00.083,0.0,0.0,0.0,0.0
4,00:00:00.125,0.0,0.0,0.0,0.0
5,00:00:00.167,0.0,0.0,0.0,0.0
6,00:00:00.209,0.0,0.0,0.0,0.0
7,00:00:00.250,0.0,0.0,0.0,0.0
8,00:00:00.292,0.0,0.0,0.0,0.0
9,00:00:00.334,0.0,0.0,0.0,0.0
10,00:00:00.375,0.0,0.0,0.0,0.0
11,00:00:00.417,0.0,0.0,0.0,0.0
12,00:00:00.459,0.0,0.0,0.0,0.0
13,00:00:00.500,0.0,0.0,0.0,0.0
14,00:00:00.542,0.0,0.0,0.0,0.0
15,00:00:00.584,71.89512803819444,61.38481987847222,109.60980902777777,44.690755208333336
16,00:00:00.626,0.5526439525462963,0.4053005642361111,0.6148003472222222,0.6378309461805556
17,00:00:00.667,1.206325954861111,1.3478732638888888,0.9901258680555556,1.2809787326388888
18,00:00:00.709,0.7423864293981483,0.6324598524305556,0.7339138454861112,0.8607855902777778
19,00:00:00.751,1.1764322916666667,1.1318359375,1.0854220920138888,1.3120388454861112
20,00:00:00.792,1.0631148726851851,0.8240831163194444,1.3144802517361112,1.05078125
21,00:00:00.834,1.455539279513889,1.4851345486111112,1.3042805989583333,1.5772026909722223
22,00:00:00.876,0.6748951099537037,0.6357421875,0.6782769097222222,0.7106662326388888
23,00:00:00.918,1.1711787471064814,1.1419542100694444,1.0678982204861112,1.3036838107638888
24,00:00:00.959,1.0138979311342593,0.9812825520833334,0.9073350694444444,1.153076171875
25,00:00:01.001,1.1659975405092593,1.0276150173611112,1.1688096788194444,1.3015679253472223
26,00:00:01.043,1.1389521846064816,1.1395399305555556,1.0247938368055556,1.2525227864583333
27,00:00:01.084,1.5327600549768519,1.3592122395833333,1.5766059027777777,1.6624620225694444
28,00:00:01.126,1.1193033854166667,1.246826171875,0.9719509548611112,1.1391330295138888
29,00:00:01.168,1.322211371527778,1.3477105034722223,1.292236328125,1.3266872829861112
30,00:00:01.210,1.1643247251157407,1.3048773871527777,0.9532063802083334,1.2348904079861112
31,00:00:01.251,1.0848614728009258,1.0085177951388888,1.0892198350694444,1.1568467881944444
32,00:00:01.293,0.7950122974537037,0.7961697048611112,0.7735731336805556,0.8152940538194444
33,00:00:01.335,1.442654079861111,1.7411024305555556,1.2017415364583333,1.3851182725694444
34,00:00:01.376,0.7533365885416666,0.6162651909722222,0.8236219618055556,0.8201226128472222
35,00:00:01.418,1.2881673177083333,1.3468153211805556,1.1592068142361112,1.3584798177083333
36,00:00:01.460,0.7669994212962963,0.6981336805555556,0.7265353732638888,0.8763292100694444
37,00:00:01.501,1.4774124710648149,1.7550184461805556,1.1328396267361112,1.5443793402777777
38,00:00:01.543,0.9378074363425926,1.0315212673611112,0.8215603298611112,0.9603407118055556
39,00:00:01.585,1.1120967158564816,1.3504774305555556,0.8603515625,1.1254611545138888
40,00:00:01.627,0.543429904513889,0.5506727430555556,0.5069715711805556,0.5726453993055556
41,00:00:01.668,0.8810221354166666,1.0794270833333333,0.6730143229166666,0.890625
42,00:00:01.710,0.44914641203703703,0.4226616753472222,0.4227973090277778,0.5019802517361112
43,00:00:01.752,0.5743182146990741,0.5715603298611112,0.5409342447916666,0.6104600694444444
44,00:00:01.793,0.935989945023148,0.9251302083333334,0.8209635416666666,1.0618760850694444
45,00:00:01.835,0.7039659288194445,0.5825466579861112,0.7204318576388888,0.8089192708333334
46,00:00:01.877,0.7150426793981483,0.7417534722222222,0.6243218315972222,0.779052734375
47,00:00:01.919,0.9251573350694445,0.9676106770833334,0.8447808159722222,0.9630805121527778
48,00:00:01.960,0.5943829571759259,0.5449761284722222,0.5809461805555556,0.6572265625
49,00:00:02.002,1.0026222511574072,1.0801866319444444,0.8661295572916666,1.0615505642361112
50,00:00:02.044,0.509521484375,0.3846028645833333,0.5552029079861112,0.5887586805555556
51,00:00:02.085,0.7795229311342592,0.7699381510416666,0.7405327690972222,0.8280978732638888
52,00:00:02.127,0.6013454861111112,0.5958116319444444,0.5359157986111112,0.6723090277777778
53,00:00:02.169,0.9110152633101851,0.575439453125,1.005615234375,1.1519911024305556
54,00:00:02.211,0.4873046875,0.4923231336805556,0.4109971788194444,0.55859375
55,00:00:02.252,0.45188621238425924,0.4578450520833333,0.4002821180555556,0.4975314670138889
